URL,Product_Name,Is_Dropship,Actual_Is_Dropship,Confidence,Z_Score,Error
"https://shop.super-pharm.co.il/animals/birds/bird-food/מזון-תוכים-גדולים-P15-|-נוטריבירד-|-1-קג/p/mp-00466148""","מזון תוכים גדולים P15 | נוטריבירד | 1 קג""",No,No,0.74%,-0.99,None
https://shop.super-pharm.co.il/animals/birds/bird-food/פריטי-בירד-|-האכלת-יד/p/mp-00257552,Unknown,ERROR,,0,0,Matches found but visual similarity < 0.35
https://shop.super-pharm.co.il/animals/birds/bird-food/פריטי-בירד-|-הבחירה-היומית-גודל-שק-גדול/p/mp-00257553,פריטי בירד | הבחירה היומית גודל שק גדול,No,No,0.61%,-0.56,None
https://shop.super-pharm.co.il/animals/birds/bird-food/פריטי-בירד-|-כופתיות-מיוחדות-לג'קו/p/mp-00257550,פריטי בירד | כופתיות מיוחדות לג'קו,No,No,0.62%,-21.43,None
"https://shop.super-pharm.co.il/animals/birds/bird-food/ריבוס-|-דוחן-|-1-קג/p/mp-00466147""","ריבוס | דוחן | 1 קג""",No,No,0.45%,-0.9,None
"https://shop.super-pharm.co.il/animals/birds/bird-food/ריבוס-|-מזון-כנרים-|-1-קג/p/mp-00466149""","ריבוס | מזון כנרים | 1 קג""",No,No,0.57%,0.21,None
https://shop.super-pharm.co.il/animals/birds/birdcages-and-stands/בצבע-אקראי-לפי-המלאי-תיבת-קינון-מקש-קלוע-לציפורי-שיר-ובר-קטנות/p/mp-00348373,בצבע אקראי לפי המלאי  - תיבת קינון מקש קלוע לציפורי שיר ובר קטנות,No,No,0.44%,-0.16,None
https://shop.super-pharm.co.il/animals/birds/birdcages-and-stands/תיבת-קינון-מעץ-לציפורי-שיר-ובר-קטנות-גוון-אפור/p/mp-00373129,תיבת קינון מעץ לציפורי שיר ובר קטנות גוון אפור,No,No,0.41%,0.33,None
https://shop.super-pharm.co.il/animals/birds/birdcages-and-stands/תיבת-קינון-מעץ-לציפורי-שיר-ובר-קטנות-גוון-ירוק/p/mp-00373128,תיבת קינון מעץ לציפורי שיר ובר קטנות גוון ירוק,No,No,0.51%,-0.13,None
https://shop.super-pharm.co.il/animals/birds/birdcages-and-stands/תיבת-קינון-מעץ-לציפורי-שיר-ובר-קטנות-גוון-לבן/p/mp-00373127,תיבת קינון מעץ לציפורי שיר ובר קטנות גוון לבן,No,No,0.33%,-0.82,None
"https://shop.super-pharm.co.il/animals/birds/dishes-for-food-and-water-birdcages/בית-קינון-לציפורי-שיר-עץ-22x16x11-סמ-פתח-30-מ""מ-ירוק%2C-לבן-או-אפור-ללא-צורך-בהרכבה-Title-טורקיז/p/mp-00508837""","בית קינון לציפורי שיר - עץ - 22x16x11 סמ - פתח 30 מ""מ - ירוק. לבן או אפור - ללא צורך בהרכבה Title טורקיז""",No,No,0.26%,0,None
https://shop.super-pharm.co.il/animals/birds/dishes-for-food-and-water-birdcages/מתקן-האכלה-לציפורי-שיר-ובר-קטנות/p/mp-00243520,מתקן האכלה לציפורי שיר ובר קטנות,Yes,Yes,99.82%,42,None
"https://shop.super-pharm.co.il/animals/birds/dishes-for-food-and-water-birdcages/מתקן-האכלה-לציפורים-מברזל-בצורת-אצטרובל-19-7X19-7X23-סמ/p/mp-00410248""","מתקן האכלה לציפורים מברזל בצורת אצטרובל 19.7X19.7X23 סמ""",No,No,0.56%,0,None
https://shop.super-pharm.co.il/animals/birds/dishes-for-food-and-water-birdcages/מתקן-האכלת-ציפורים-לכל-סוגי-המזון-25X24-ס''מ/p/mp-00410249,מתקן האכלת ציפורים לכל סוגי המזון 25X24 ס''מ,Yes,Yes,97.44%,2.5,None
https://shop.super-pharm.co.il/animals/birds/dishes-for-food-and-water-birdcages/מתקן-האכלת-ציפורים-שקוף-הנצמד-לחלון/p/mp-00243519,מתקן האכלת ציפורים שקוף הנצמד לחלון,Yes,Yes,99.60%,3.38,None
https://shop.super-pharm.co.il/animals/birds/dishes-for-food-and-water-birdcages/עמוד-האכלה-לציפורים-לשימוש-בגינה-ובמרפסת/p/mp-00346096,עמוד האכלה לציפורים לשימוש בגינה ובמרפסת,Yes,Yes,99.71%,212,None
"https://shop.super-pharm.co.il/home/garden-and-terrace/balcony-and-garden-furniture/fire-pit/מדורת-גן-קערת-מדורה-מעוצבת-בקוטר-80-סמ-ממתכת-לחימום-ובישול-בגינה/p/mp-00398132""","מדורת גן - קערת מדורה מעוצבת בקוטר 80 סמ ממתכת לחימום ובישול בגינה""",No,No,0.36%,0,None
"https://shop.super-pharm.co.il/home/garden-and-terrace/gardening/houseplants/קשת-רחבה-180-סמ-ממתכת-עם-בסיסי-צד-לתמיכת-צמחים-מטפסים-ועיצוב-הגינה-דגם-סביון/p/mp-00359168""","קשת רחבה 180 סמ ממתכת עם בסיסי צד לתמיכת צמחים מטפסים ועיצוב הגינה דגם סביון""",Yes,Yes,96.00%,2.41,None
https://shop.super-pharm.co.il/home/garden-and-terrace/gardening/planters/מעמד-מעץ-לאדנית-עם-רשת-לטיפוס-צמחים/p/mp-00379833,מעמד מעץ לאדנית עם רשת לטיפוס צמחים,Yes,Yes,99.79%,4.92,None
https://shop.super-pharm.co.il/home/garden-and-terrace/gardening/planters/קשת-רחבה-ממתכת-לתמיכת-צמחים-מטפסים-ועיצוב-הגינה-דגם-ורד/p/mp-00235241,קשת רחבה ממתכת לתמיכת צמחים מטפסים ועיצוב הגינה דגם ורד,Yes,Yes,99.60%,152,None
https://shop.super-pharm.co.il/animals/birds/bird-food/פריטי-בירד-|-הבחירה-היומית-גודל-שק-גדול/p/mp-00257553,פריטי בירד | הבחירה היומית גודל שק גדול,No,No,0.61%,-0.56,None
https://shop.super-pharm.co.il/animals/birds/bird-food/פריטי-בירד-|-הבחירה-היומית-גודל-שק-קטן/p/mp-00257551,פריטי בירד | הבחירה היומית גודל שק קטן,No,No,1.03%,-0.51,None
https://shop.super-pharm.co.il/animals/birds/bird-food/פריטי-בירד-|-כופתיות-מיוחדות-לג'קו/p/mp-00257550,פריטי בירד | כופתיות מיוחדות לג'קו,No,No,0.62%,-21.43,None
https://shop.super-pharm.co.il/animals/birds/dishes-for-food-and-water-birdcages/מתקן-האכלת-ציפורים-שקוף-הנצמד-לחלון/p/mp-00243519,מתקן האכלת ציפורים שקוף הנצמד לחלון,Yes,Yes,99.60%,3.38,None
"https://shop.super-pharm.co.il/fashion/men/jewelry/bracelets/צמיד-אקוומרין""-לגבר/p/mp-00524011""","צמיד אקוומרין"" לגבר""",No,No,3.47%,1.39,None
https://shop.super-pharm.co.il/fashion/men/jewelry/bracelets/צמיד-אבני-חן-לבה-לגבר/p/mp-00524010,צמיד אבני-חן לבה לגבר,Yes,Yes,99.82%,142,None
https://shop.super-pharm.co.il/fashion/men/jewelry/bracelets/צמיד-אנא-בכח-עור-ושרשרת/p/mp-00368595,Unknown,ERROR,,0,0,Matches found but visual similarity < 0.35
